leg_id,full_name,chamber,discrict,party,bills_indroduced,link,bio_page,photo_url
MNL000228,Diane Anderson,House,38A,Republican,7,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15339,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15339,http://www.house.leg.state.mn.us/hinfo/memberimgls87/38A.GIF
MNL000233,King Banaian,House,15B,Republican,13,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15340,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15340,http://www.house.leg.state.mn.us/hinfo/memberimgls87/15B.GIF
MNL000234,Bob Barrett,House,17B,Republican,11,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15341,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15341,http://www.house.leg.state.mn.us/hinfo/memberimgls87/17B.GIF
MNL000202,Michelle R Benson,Senate,49,Republican,32,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15322,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15322,http://www.senate.leg.state.mn.us//graphics/49Benson.jpg
MNL000237,Mike Benson,House,30B,Republican,9,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15342,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15342,http://www.house.leg.state.mn.us/hinfo/memberimgls87/30B.GIF
MNL000238,Kurt Bills,House,37B,Republican,13,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15343,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15343,http://www.house.leg.state.mn.us/hinfo/memberimgls87/37B.GIF
MNL000203,David M Brown,Senate,16,Republican,22,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15323,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15323,http://www.senate.leg.state.mn.us//graphics/16Brown.jpg
MNL000204,John Carlson,Senate,4,Republican,28,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15324,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15324,http://www.senate.leg.state.mn.us//graphics/04Carlson.jpg
MNL000205,Roger C Chamberlain,Senate,53,Republican,26,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15325,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15325,http://www.senate.leg.state.mn.us//graphics/53Chamberlain.jpg
MNL000245,Roger Crawford,House,08B,Republican,5,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15344,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15344,http://www.house.leg.state.mn.us/hinfo/memberimgls87/08B.GIF
MNL000206,Gary H Dahms,Senate,21,Republican,19,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15326,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15326,http://www.senate.leg.state.mn.us//graphics/21Dahms.jpg
MNL000207,Theodore J Daley,Senate,38,Republican,24,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15327,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15327,http://www.senate.leg.state.mn.us//graphics/38Daley.jpg
MNL000246,Kurt Daudt,House,17A,Republican,8,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15345,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15345,http://www.house.leg.state.mn.us/hinfo/memberimgls87/17A.GIF
MNL000208,Al DeKruif,Senate,25,Republican,18,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15328,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15328,http://www.senate.leg.state.mn.us//graphics/25Dekruif.jpg
MNL000258,Dan Fabian,House,01A,Republican,13,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15346,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15346,http://www.house.leg.state.mn.us/hinfo/memberimgls87/01A.GIF
MNL000260,Mary Franson,House,11B,Republican,15,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15347,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15347,http://www.house.leg.state.mn.us/hinfo/memberimgls87/11B.GIF
MNL000267,Glenn Gruenhagen,House,25A,Republican,17,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15350,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15350,http://www.house.leg.state.mn.us/hinfo/memberimgls87/25A.GIF
MNL000211,Dan D Hall,Senate,40,Republican,20,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15329,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15329,http://www.senate.leg.state.mn.us//graphics/40Hall.jpg
MNL000271,David Hancock,House,02B,Republican,9,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15351,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15351,http://www.house.leg.state.mn.us/hinfo/memberimgls87/02B.GIF
MNL000212,John M Harrington,Senate,67,DFL,22,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15330,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15330,http://www.senate.leg.state.mn.us//graphics/67Harrington.jpg
MNL000213,Gretchen M Hoffman,Senate,10,Republican,24,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15331,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15331,http://www.senate.leg.state.mn.us//graphics/10Hoffman.jpg
MNL000214,John Sterling Howe,Senate,28,Republican,29,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15332,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15332,http://www.senate.leg.state.mn.us//graphics/28Howe.jpg
MNL000288,Andrea Kieffer,House,56B,Republican,8,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15352,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15352,http://www.house.leg.state.mn.us/hinfo/memberimgls87/56B.GIF
MNL000289,Debra Kiel,House,01B,Republican,12,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15353,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15353,http://www.house.leg.state.mn.us/hinfo/memberimgls87/01B.GIF
MNL000293,John Kriesel,House,57A,Republican,13,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15354,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15354,http://www.house.leg.state.mn.us/hinfo/memberimgls87/57A.GIF
MNL000215,Benjamin A Kruse,Senate,47,Republican,20,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=Senate&session=0872011&author1[]=&legid1=15333,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15333,http://www.senate.leg.state.mn.us//graphics/47Kruse.jpg
MNL000296,Ernie Leidiger,House,34A,Republican,6,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15355,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15355,http://www.house.leg.state.mn.us/hinfo/memberimgls87/34A.GIF
MNL000297,Mike LeMieur,House,12B,Republican,10,https://www.revisor.mn.gov/revisor/pages/search_status/status_results.php?body=House&session=0872011&author1[]=&legid1=15357,http://www.leg.state.mn.us/legdb/fulldetail.aspx?ID=15357,http://www.house.leg.state.mn.us/hinfo/memberimgls87/12B.GIF
